 Structure from AMSCIFDB, AMS_ID: 1011103       Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal:  Zeitschrift fuer Physikalische Chemie (Frankfurt Am Main) 126, pp. 41
 Authors: Bredig, G, Allolio, R
 Title1:  Roentgenuntersuchungen an katalytisch wirkenden Metallen
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.471 Rnm= 1.507 L3 shell
 Pot 1 Z=78 Rmt= 1.485 Rnm= 1.523
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.725E-01 kf=2.020E+00 Vint=-1.582E+01 Rs_int= 1.795
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   23      icalc       2
 -----------------------------------------------------------------------
   4  96.000   6.5984    2.8779   -0.27245 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
  2.400  1.0964E+01  6.8268E-02 -2.5911E+01  1.061E+00  7.0296E+00  3.2031E+00
  2.600  1.0872E+01  9.6178E-02 -2.6560E+01  1.185E+00  5.0220E+00  3.3752E+00
  2.800  1.0868E+01  1.0746E-01 -2.7320E+01  1.220E+00  4.5401E+00  3.5075E+00
  3.000  1.0856E+01  1.0396E-01 -2.8032E+01  1.242E+00  4.3109E+00  3.6455E+00
  3.200  1.0833E+01  8.5933E-02 -2.8679E+01  1.247E+00  4.2199E+00  3.7916E+00
  3.400  1.0803E+01  6.2335E-02 -2.9286E+01  1.246E+00  4.2073E+00  3.9435E+00
  3.600  1.0766E+01  3.7768E-02 -2.9873E+01  1.240E+00  4.2453E+00  4.1004E+00
  3.800  1.0721E+01  1.6640E-02 -3.0528E+01  1.229E+00  4.3189E+00  4.2618E+00
  4.000  1.0670E+01  5.4300E-03 -3.2716E+01  1.218E+00  4.4193E+00  4.4274E+00
  4.200  1.0612E+01  1.6983E-02 -3.3828E+01  1.205E+00  4.5406E+00  4.5965E+00
  4.400  1.0548E+01  2.6399E-02 -3.4236E+01  1.191E+00  4.6791E+00  4.7688E+00
  4.600  1.0479E+01  3.2073E-02 -3.4512E+01  1.177E+00  4.8318E+00  4.9440E+00
  4.800  1.0406E+01  3.4831E-02 -3.4728E+01  1.164E+00  4.9968E+00  5.1216E+00
  5.000  1.0330E+01  3.5349E-02 -3.4913E+01  1.150E+00  5.1724E+00  5.3014E+00
  5.200  1.0251E+01  3.3977E-02 -3.5072E+01  1.137E+00  5.3574E+00  5.4832E+00
  5.400  1.0171E+01  3.1299E-02 -3.5225E+01  1.125E+00  5.5509E+00  5.6666E+00
  5.600  1.0091E+01  2.7408E-02 -3.5383E+01  1.113E+00  5.7521E+00  5.8516E+00
  5.800  1.0010E+01  2.2617E-02 -3.5562E+01  1.101E+00  5.9602E+00  6.0379E+00
  6.000  9.9288E+00  1.7385E-02 -3.5790E+01  1.091E+00  6.1748E+00  6.2254E+00
  6.500  9.7262E+00  8.6822E-03 -3.7004E+01  1.064E+00  6.7364E+00  6.6985E+00
  7.000  9.5219E+00  1.3297E-02 -3.8016E+01  1.037E+00  7.3298E+00  7.1766E+00
  7.500  9.3153E+00  1.7802E-02 -3.8194E+01  1.014E+00  7.9510E+00  7.6586E+00
  8.000  9.1087E+00  2.1288E-02 -3.8155E+01  9.948E-01  8.5969E+00  8.1436E+00
  8.500  8.9053E+00  2.5371E-02 -3.8088E+01  9.800E-01  9.2651E+00  8.6309E+00
  9.000  8.7063E+00  2.9223E-02 -3.8090E+01  9.680E-01  9.9538E+00  9.1201E+00
  9.500  8.5117E+00  3.1432E-02 -3.8153E+01  9.580E-01  1.0662E+01  9.6108E+00
 10.000  8.3220E+00  3.1450E-02 -3.8248E+01  9.499E-01  1.1387E+01  1.0103E+01
 11.000  7.9597E+00  2.6610E-02 -3.8456E+01  9.391E-01  1.2886E+01  1.1089E+01
 12.000  7.6188E+00  1.9221E-02 -3.8644E+01  9.326E-01  1.4445E+01  1.2079E+01
 13.000  7.2979E+00  1.2733E-02 -3.8778E+01  9.283E-01  1.6057E+01  1.3071E+01
 14.000  6.9966E+00  8.9396E-03 -3.8883E+01  9.264E-01  1.7719E+01  1.4064E+01
 15.000  6.7124E+00  6.5791E-03 -3.9189E+01  9.251E-01  1.9425E+01  1.5058E+01
 16.000  6.4453E+00  4.9493E-03 -3.9760E+01  9.246E-01  2.1173E+01  1.6053E+01
 17.000  6.1926E+00  4.5994E-03 -4.0450E+01  9.231E-01  2.2959E+01  1.7049E+01
 18.000  5.9530E+00  5.2641E-03 -4.1038E+01  9.217E-01  2.4782E+01  1.8046E+01
 19.000  5.7234E+00  6.0825E-03 -4.1489E+01  9.209E-01  2.6638E+01  1.9042E+01
 20.000  5.5048E+00  6.6304E-03 -4.1843E+01  9.208E-01  2.8527E+01  2.0040E+01
